CUSTOMER ID,CITY,STATE,SERVICE HISTORY,COMMON PROBLEM,SOLUTION USED,VEHICAL COMPANY
349, Ananthapuram, Andhra Pradesh, Fluid Leak; Brake Inspection, Fluid leak, Fluid replacement, Audi
350, Ananthapuram, Andhra Pradesh, Engine Diagnostics; Oil Change, Engine misfire, Diagnostic scan, Volkswagen
351, Ananthapuram, Andhra Pradesh, Suspension Repair; General Maintenance, Steering issues, Suspension adjustment, Tata Motors
352, Ananthapuram, Andhra Pradesh, Tire Rotation; Brake Service, Tire wear, Tire rotation, Kia
353, Ananthapuram, Andhra Pradesh, Brake Fluid Change; Oil Change, Brake fluid leak, Brake fluid replacement, Bajaj Auto
354, Ananthapuram, Andhra Pradesh, Engine Check; Tire Replacement, Tire damage, Tire replacement, Hero MotoCorp
355, Ananthapuram, Andhra Pradesh, Transmission Fluid Change; Diagnostics, Transmission slipping, Transmission fluid change, Hyundai
356, Ananthapuram, Andhra Pradesh, Oil Change; Brake Repair, Brake noise, Brake pad replacement, Renault
357, Ananthapuram, Andhra Pradesh, Fluid Check; General Maintenance, Fluid leak, Fluid replacement, Toyota
358, Ananthapuram, Andhra Pradesh, Engine Overheating; Tune-Up, Engine overheating, Cooling system flush, Ford
359, Ananthapuram, Andhra Pradesh, Tire Alignment; Brake Fluid Change, Misaligned tires, Tire alignment, Kia
360, Ananthapuram, Andhra Pradesh, Exhaust Repair; Oil Change, Exhaust noise, Exhaust system repair, Honda
361, Ananthapuram, Andhra Pradesh, Brake Inspection; Tire Rotation, Brake noise, Brake pad replacement, Bajaj Auto
362, Ananthapuram, Andhra Pradesh, Engine Diagnostics; Oil Change, Check engine light, Diagnostic scan, Nissan
363, Ananthapuram, Andhra Pradesh, Fluid Leak; Tire Replacement, Fluid leak, Fluid replacement, Tata Motors
364, Ananthapuram, Andhra Pradesh, General Maintenance; Engine Repair, Engine roughness, Spark plug replacement, Hyundai
365, Ananthapuram, Andhra Pradesh, Brake Repair; Oil Change, Brake noise, Brake pad replacement, Ford
366, Ananthapuram, Andhra Pradesh, Tire Alignment; Brake Inspection, Misaligned wheels, Wheel alignment, Renault
367, Ananthapuram, Andhra Pradesh, Suspension Repair; Tire Inspection, Steering issues, Suspension adjustment, Kia
368, Ananthapuram, Andhra Pradesh, Exhaust Leak; General Maintenance, Exhaust noise, Exhaust system repair, Hyundai
369, Ananthapuram, Andhra Pradesh, Engine Overheating; Tune-Up, Engine overheating, Cooling system flush, Volkswagen
370, Ananthapuram, Andhra Pradesh, Oil Change; Tire Alignment, Misaligned tires, Tire alignment, Hyundai
371, Ananthapuram, Andhra Pradesh, Brake Repair; Engine Check, Brake noise, Brake pad replacement, Ford
372, Ananthapuram, Andhra Pradesh, Transmission Repair; Oil Change, Slipping transmission, Transmission fluid change, Tata Motors
373, Ananthapuram, Andhra Pradesh, Exhaust Leak; Tire Inspection, Exhaust noise, Exhaust system repair, Hero MotoCorp
374, Ananthapuram, Andhra Pradesh, Fluid Leak; Brake Inspection, Fluid leak, Fluid replacement, Audi
375, Ananthapuram, Andhra Pradesh, Engine Diagnostics; Oil Change, Engine misfire, Diagnostic scan, Volkswagen
376, Ananthapuram, Andhra Pradesh, Suspension Repair; General Maintenance, Steering issues, Suspension adjustment, Tata Motors
377, Ananthapuram, Andhra Pradesh, Tire Rotation; Brake Service, Tire wear, Tire rotation, Kia
378, Ananthapuram, Andhra Pradesh, Brake Fluid Change; Oil Change, Brake fluid leak, Brake fluid replacement, Bajaj Auto
379, Ananthapuram, Andhra Pradesh, Engine Check; Tire Replacement, Tire damage, Tire replacement, Hero MotoCorp
376, Ananthapuram, Andhra Pradesh, Suspension Repair; General Maintenance, Steering issues, Suspension adjustment, Tata Motors
377, Ananthapuram, Andhra Pradesh, Tire Rotation; Brake Service, Tire wear, Tire rotation, Kia
378, Ananthapuram, Andhra Pradesh, Brake Fluid Change; Oil Change, Brake fluid leak, Brake fluid replacement, Bajaj Auto
379, Ananthapuram, Andhra Pradesh, Engine Check; Tire Replacement, Tire damage, Tire replacement, Hero MotoCorp
376, Ananthapuram, Andhra Pradesh, Suspension Repair; General Maintenance, Steering issues, Suspension adjustment, Tata Motors
377, Ananthapuram, Andhra Pradesh, Tire Rotation; Brake Service, Tire wear, Tire rotation, Kia
378, Ananthapuram, Andhra Pradesh, Brake Fluid Change; Oil Change, Brake fluid leak, Brake fluid replacement, Bajaj Auto
379, Ananthapuram, Andhra Pradesh, Engine Check; Tire Replacement, Tire damage, Tire replacement, Hero MotoCorp
380, Ananthapuram, Andhra Pradesh, Battery Check; Oil Change, Battery drainage, Battery replacement, Honda 
381, Ananthapuram, Andhra Pradesh, AC Service; Engine Tune-Up, AC not cooling, AC repair, Maruti Suzuki 
382, Ananthapuram, Andhra Pradesh, Wheel Alignment; Brake Inspection, Misalignment, Wheel alignment, Ford 
383, Ananthapuram, Andhra Pradesh, Fuel Filter Change; Oil Change, Fuel blockage, Fuel filter replacement, Tata Motors 
384, Ananthapuram, Andhra Pradesh, Timing Belt Replacement; Engine Check, Timing issues, Timing belt replacement, Hyundai 
385, Ananthapuram, Andhra Pradesh, Transmission Fluid Change; Brake Service, Gear slipping, Transmission fluid replacement, Nissan 
386, Ananthapuram, Andhra Pradesh, Radiator Flush; Cooling System Check, Overheating, Radiator repair, Chevrolet 
387, Ananthapuram, Andhra Pradesh, Light Replacement; General Maintenance, Flickering lights, Headlight replacement, Suzuki 
388, Ananthapuram, Andhra Pradesh, Exhaust System Repair; Emission Test, Loud exhaust, Exhaust repair, Volkswagen 
389, Ananthapuram, Andhra Pradesh, Oil Filter Change; Tire Rotation, Oil leak, Oil filter replacement, Renault 
390, Ananthapuram, Andhra Pradesh, Spark Plug Replacement; Engine Diagnostics, Poor acceleration, Spark plug replacement, Toyota 
391, Ananthapuram, Andhra Pradesh, Clutch Replacement; Brake Inspection, Sticking clutch, Clutch repair, Mahindra 
392, Ananthapuram, Andhra Pradesh, Fuel Injection Service; Oil Change, Rough idling, Fuel injector cleaning, Bajaj Auto 
393, Ananthapuram, Andhra Pradesh, Windshield Wiper Replacement; General Maintenance, Streaky wipers, Wiper replacement, Ford 
394, Ananthapuram, Andhra Pradesh, Power Steering Fluid Change; Tire Rotation, Hard steering, Power steering service, Honda 
395, Ananthapuram, Andhra Pradesh, Differential Service; Brake Fluid Change, Noise while turning, Differential repair, Kia 
396, Ananthapuram, Andhra Pradesh, Antifreeze Change; Engine Check, Cooling issues, Antifreeze replacement, Hyundai 
397, Ananthapuram, Andhra Pradesh, Serpentine Belt Replacement; General Maintenance, Squeaking noise, Belt replacement, Nissan 
398, Ananthapuram, Andhra Pradesh, Engine Filter Change; Tire Replacement, Decreased power, Engine filter replacement, Tata Motors 
399, Ananthapuram, Andhra Pradesh, Safety Inspection; Brake Service, Warning lights, Inspection service, Chevrolet 
400, Ananthapuram, Andhra Pradesh, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration, Suzuki
401, Ananthapuram, Andhra Pradesh, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration, Honda City
402, Ananthapuram, Andhra Pradesh, Headlight Restoration; Brake Check, Dim headlights, Headlight restoration, Maruti Swift
403, Ananthapuram, Andhra Pradesh, Headlight Restoration; Tire Rotation, Yellowed headlights, Headlight restoration, Toyota Corolla
404, Ananthapuram, Andhra Pradesh, Headlight Restoration; Oil Change, Scratched headlights, Headlight restoration, Ford EcoSport
405, Ananthapuram, Andhra Pradesh, Headlight Restoration; Battery Replacement, Cloudy headlights, Headlight restoration, Hyundai Verna
406, Ananthapuram, Andhra Pradesh, Headlight Restoration; Engine Tune-Up, Faded headlights, Headlight restoration, Chevrolet Beat
407, Ananthapuram, Andhra Pradesh, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration, Tata Nexon
408, Ananthapuram, Andhra Pradesh, Headlight Restoration; Suspension Check, Dull headlights, Headlight restoration, Nissan Micra
409, Ananthapuram, Andhra Pradesh, Headlight Restoration; Tire Alignment, Cloudy headlights, Headlight restoration, Renault Duster
410, Ananthapuram, Andhra Pradesh, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration, Mahindra XUV300
411, Ananthapuram, Andhra Pradesh, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration, Kia Seltos
412, Ananthapuram, Andhra Pradesh, Headlight Restoration; Brake Check, Dim headlights, Headlight restoration, Tata Tiago
413, Ananthapuram, Andhra Pradesh, Headlight Restoration; Tire Rotation, Yellowed headlights, Headlight restoration, Skoda Rapid
414, Ananthapuram, Andhra Pradesh, Headlight Restoration; Oil Change, Scratched headlights, Headlight restoration, Volkswagen Polo
415, Ananthapuram, Andhra Pradesh, Headlight Restoration; Battery Replacement, Cloudy headlights, Headlight restoration, Nissan Sunny
416, Ananthapuram, Andhra Pradesh, Headlight Restoration; Engine Tune-Up, Faded headlights, Headlight restoration, Honda Jazz
417, Ananthapuram, Andhra Pradesh, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration, Ford Figo
418, Ananthapuram, Andhra Pradesh, Headlight Restoration; Suspension Check, Dull headlights, Headlight restoration, Maruti Baleno
419, Ananthapuram, Andhra Pradesh, Headlight Restoration; Tire Alignment, Cloudy headlights, Headlight restoration, Hyundai Creta
420, Ananthapuram, Andhra Pradesh, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration, Mahindra Thar
421, Ananthapuram, Andhra Pradesh, Headlight Restoration; Brake Check, Dim headlights, Headlight restoration, Hyundai Elite i20
422, Ananthapuram, Andhra Pradesh, Headlight Restoration; Tire Rotation, Yellowed headlights, Headlight restoration, Tata Harrier
423, Ananthapuram, Andhra Pradesh, Headlight Restoration; Oil Change, Scratched headlights, Headlight restoration, Kia Carnival
424, Ananthapuram, Andhra Pradesh, Headlight Restoration; Battery Replacement, Cloudy headlights, Headlight restoration, Toyota Innova
425, Ananthapuram, Andhra Pradesh, Headlight Restoration; Engine Tune-Up, Faded headlights, Headlight restoration, Skoda Kushaq
426, Ananthapuram, Andhra Pradesh, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration, Maruti Suzuki Vitara Brezza
427, Ananthapuram, Andhra Pradesh, Headlight Restoration; Suspension Check, Dull headlights, Headlight restoration, Nissan Magnite
428, Ananthapuram, Andhra Pradesh, Headlight Restoration; Tire Alignment, Cloudy headlights, Headlight restoration, Honda Accord
429, Ananthapuram, Andhra Pradesh, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration, MG Hector
430, Ananthapuram, Andhra Pradesh, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration, Mahindra Scorpio
431, Ananthapuram, Andhra Pradesh, Headlight Restoration; Brake Check, Dim headlights, Headlight restoration, Tata Safari
432, Ananthapuram, Andhra Pradesh, Headlight Restoration; Tire Rotation, Yellowed headlights, Headlight restoration, Hyundai i20
433, Ananthapuram, Andhra Pradesh, Headlight Restoration; Engine Tune-Up, Faded headlights, Headlight restoration, Honda WR-V
434, Ananthapuram, Andhra Pradesh, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration, Maruti Celerio
435, Ananthapuram, Andhra Pradesh, Headlight Restoration; Battery Replacement, Cloudy headlights, Headlight restoration, Renault Captur
436, Ananthapuram, Andhra Pradesh, Headlight Restoration; Suspension Check, Dull headlights, Headlight restoration, Tata Nexon
437, Ananthapuram, Andhra Pradesh, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration, Ford EcoSport
438, Ananthapuram, Andhra Pradesh, Headlight Restoration; Brake Check, Dim headlights, Headlight restoration, Mahindra KUV100
439, Ananthapuram, Andhra Pradesh, Headlight Restoration; Tire Rotation, Yellowed headlights, Headlight restoration, Nissan Kicks
440, Ananthapuram, Andhra Pradesh, Headlight Restoration; Engine Tune-Up, Faded headlights, Headlight restoration, Skoda Octavia
441, Ananthapuram, Andhra Pradesh, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration, MG Hector Plus
442, Ananthapuram, Andhra Pradesh, Headlight Restoration; Battery Replacement, Cloudy headlights, Headlight restoration, Hyundai Venue
443, Ananthapuram, Andhra Pradesh, Headlight Restoration; Suspension Check, Dull headlights, Headlight restoration,Hyundai
444, Ananthapuram, Andhra Pradesh, Headlight Restoration; Tire Alignment, Cloudy headlights, Headlight restoration, Mahindra Thar
445, Ananthapuram, Andhra Pradesh, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration, Ford EcoSport
446, Ananthapuram, Andhra Pradesh, Headlight Restoration; Battery Replacement, Cloudy headlights, Headlight restoration, Renault Duster
447, Ananthapuram, Andhra Pradesh, Headlight Restoration; Engine Tune-Up, Faded headlights, Headlight restoration, Tata Harrier
448, Ananthapuram, Andhra Pradesh, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration, Maruti Alto
449, Ananthapuram, Andhra Pradesh, Headlight Restoration; Brake Check, Dim headlights, Headlight restoration, Hyundai Creta
450, Ananthapuram, Andhra Pradesh, Headlight Restoration; Tire Rotation, Yellowed headlights, Headlight restoration, Honda WR-V
451, Ananthapuram, Andhra Pradesh, Headlight Restoration; Oil Change, Scratched headlights, Headlight restoration, Tata Nexon
452, Ananthapuram, Andhra Pradesh, Headlight Restoration; Battery Replacement, Cloudy headlights, Headlight restoration, Ford Figo
453, Ananthapuram, Andhra Pradesh, Headlight Restoration; Engine Tune-Up, Faded headlights, Headlight restoration, Renault Duster
454, Ananthapuram, Andhra Pradesh, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration, Mahindra 
455, Ananthapuram, Andhra Pradesh, Headlight Restoration; Brake Check, Dim headlights, Headlight restoration, Maruti Swift
456, Ananthapuram, Andhra Pradesh, Headlight Restoration; Tire Rotation, Yellowed headlights, Headlight restoration, Hyundai i20
457, Ananthapuram, Andhra Pradesh, Headlight Restoration; Suspension Check, Dull headlights, Headlight restoration, Tata Harrier
458, Ananthapuram, Andhra Pradesh, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration, Honda City
459, Ananthapuram, Andhra Pradesh, Headlight Restoration; Brake Check, Dim headlights, Headlight restoration, Maruti Baleno
460, Ananthapuram, Andhra Pradesh, Headlight Restoration; Tire Alignment, Cloudy headlights, Headlight restoration, Toyota Yaris
461, Ananthapuram, Andhra Pradesh, Headlight Restoration; Engine Tune-Up, Faded headlights, Headlight restoration, Hyundai Venue
462, Ananthapuram, Andhra Pradesh, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration, Nissan Kicks
463, Ananthapuram, Andhra Pradesh, Headlight Restoration; Battery Replacement, Cloudy headlights, Headlight restoration, Tata Nexon
464, Ananthapuram, Andhra Pradesh, Headlight Restoration; Suspension Check, Dull headlights, Headlight restoration, MG Hector
465, Ananthapuram, Andhra Pradesh, Headlight Restoration; Tire Alignment, Cloudy headlights, Headlight restoration, Ford EcoSport
466, Ananthapuram, Andhra Pradesh, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration, Renault Captur
467, Ananthapuram, Andhra Pradesh, Headlight Restoration; Brake Check, Dim headlights, Headlight restoration, Skoda Kushaq
468, Ananthapuram, Andhra Pradesh, Headlight Restoration; Tire Rotation, Yellowed headlights, Headlight restoration, Honda Accord
469, Ananthapuram, Andhra Pradesh, Headlight Restoration; Engine Tune-Up, Faded headlights, Headlight restoration, Maruti Vitara Brezza
470, Ananthapuram, Andhra Pradesh, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration, Hyundai Creta
471, Ananthapuram, Andhra Pradesh, Headlight Restoration; Battery Replacement, Cloudy headlights, Headlight restoration, Tata Nexon
472, Ananthapuram, Andhra Pradesh, Headlight Restoration; Suspension Check, Dull headlights, Headlight restoration, Ford EcoSport
473, Ananthapuram, Andhra Pradesh, Headlight Restoration; Tire Alignment, Cloudy headlights, Headlight restoration, Nissan Magnite
474, Ananthapuram, Andhra Pradesh, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration, Mahindra Thar
475, Ananthapuram, Andhra Pradesh, Headlight Restoration; Brake Check, Dim headlights, Headlight restoration, Toyota Innova
476, Ananthapuram, Andhra Pradesh, Headlight Restoration; Tire Rotation, Yellowed headlights, Headlight restoration, Hyundai Elite i20
477, Ananthapuram, Andhra Pradesh, Headlight Restoration; Engine Tune-Up, Faded headlights, Headlight restoration, Renault Duster
478, Ananthapuram, Andhra Pradesh, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration, Tata Harrier
479, Ananthapuram, Andhra Pradesh, Headlight Restoration; Battery Replacement, Cloudy headlights, Headlight restoration, Maruti Swift
480, Ananthapuram, Andhra Pradesh, Headlight Restoration; Suspension Check, Dull headlights, Headlight restoration, Honda WR-V
481, Ananthapuram, Andhra Pradesh, Headlight Restoration; Tire Alignment, Cloudy headlights, Headlight restoration, Ford Figo
482, Ananthapuram, Andhra Pradesh, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration, Hyundai Creta
483, Ananthapuram, Andhra Pradesh, Headlight Restoration; Brake Check, Dim headlights, Headlight restoration, MG Hector
484, Ananthapuram, Andhra Pradesh, Headlight Restoration; Tire Rotation, Yellowed headlights, Headlight restoration, Toyota Fortuner
485, Ananthapuram, Andhra Pradesh, Headlight Restoration; Engine Tune-Up, Faded headlights, Headlight restoration, Tata Nexon
486, Ananthapuram, Andhra Pradesh, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration, Nissan Kicks
487, Ananthapuram, Andhra Pradesh, Headlight Restoration; Battery Replacement, Cloudy headlights, Headlight restoration, Honda
488, Ananthapuram, Andhra Pradesh, Headlight Restoration; Suspension Check, Dull headlights, Headlight restoration, Mahindra XUV300
489, Ananthapuram, Andhra Pradesh, Headlight Restoration; Tire Alignment, Cloudy headlights, Headlight restoration, Ford EcoSport
490, Ananthapuram, Andhra Pradesh, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration, Hyundai Venue
491, Ananthapuram, Andhra Pradesh, Headlight Restoration; Brake Check, Dim headlights, Headlight restoration, Tata Tiago
492, Ananthapuram, Andhra Pradesh, Headlight Restoration; Tire Rotation, Yellowed headlights, Headlight restoration, Renault Captur
493, Ananthapuram, Andhra Pradesh, Headlight Restoration; Engine Tune-Up, Faded headlights, Headlight restoration, Skoda Kushaq
494, Ananthapuram, Andhra Pradesh, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration, Maruti Vitara
495, Ananthapuram, Andhra Pradesh, Headlight Restoration; Battery Replacement, Cloudy headlights, Headlight restoration, Toyota Yaris
496, Ananthapuram, Andhra Pradesh, Headlight Restoration; Suspension Check, Dull headlights, Headlight restoration, Hyundai Creta
497, Ananthapuram, Andhra Pradesh, Headlight Restoration; Tire Alignment, Cloudy headlights, Headlight restoration, Tata Nexon
498, Ananthapuram, Andhra Pradesh, Headlight Restoration; Oil Change, Cloudy headlights, Headlight restoration, Mahindra Scorpio
499, Ananthapuram, Andhra Pradesh, Headlight Restoration; Brake Check, Dim headlights, Headlight restoration, Nissan Kicks
500, Ananthapuram, Andhra Pradesh, Headlight Restoration; Tire Rotation, Yellowed headlights, Headlight restoration, Honda Accord
